cityname,year,earthquake
ESKISEHIR,2002,0
GAZIANTEP,2002,0
GIRESUN,2002,0
GUMUSHANE,2002,0
HAKKARI,2002,0
HATAY,2002,0
IGDIR,2002,0
ISPARTA,2002,3
ISTANBUL,2002,0
IZMIR,2002,12
KAHRAMANMARAS,2002,1
KARABUK,2002,0
KARAMAN,2002,0
KARS,2002,0
KASTAMONU,2002,0
KAYSERI,2002,0
KILIS,2002,0
KIRIKKALE,2002,0
KIRKLARELI,2002,0
KIRSEHIR,2002,0
KOCAELI,2002,2
KONYA,2002,2
KUTAHYA,2002,0
MALATYA,2002,0
MANISA,2002,10
MARDIN,2002,0
MERSIN,2002,0
MUGLA,2002,3
MUS,2002,0
NEVSEHIR,2002,0
NIGDE,2002,0
ORDU,2002,0
OSMANIYE,2002,1
RIZE,2002,0
SAKARYA,2002,0
SAMSUN,2002,0
SANLIURFA,2002,0
SIIRT,2002,0
SINOP,2002,0
SIRNAK,2002,1
SIVAS,2002,0
TEKIRDAG,2002,0
TOKAT,2002,0
TRABZON,2002,0
TUNCELI,2002,1
USAK,2002,0
VAN,2002,1
YALOVA,2002,0
YOZGAT,2002,1
ZONGULDAK,2002,1
ADANA,2003,1
ADIYAMAN,2003,1
AFYONKARAHISAR,2003,1
AGRI,2003,0
AKSARAY,2003,1
AMASYA,2003,1
ANKARA,2003,4
ANTALYA,2003,4
ARDAHAN,2003,0
ARTVIN,2003,0
AYDIN,2003,1
BALIKESIR,2003,11
BARTIN,2003,0
BATMAN,2003,0
BAYBURT,2003,0
BILECIK,2003,0
BINGOL,2003,12
BITLIS,2003,0
BOLU,2003,2
BURDUR,2003,0
BURSA,2003,4
CANAKKALE,2003,6
CANKIRI,2003,0
CORUM,2003,0
DENIZLI,2003,9
DIYARBAKIR,2003,0
DUZCE,2003,1
EDIRNE,2003,0
ELAZIG,2003,0
ERZINCAN,2003,2
ERZURUM,2003,0
ESKISEHIR,2003,1
GAZIANTEP,2003,0
GIRESUN,2003,0
GUMUSHANE,2003,0
HAKKARI,2003,0
HATAY,2003,0
IGDIR,2003,0
ISPARTA,2003,1
ISTANBUL,2003,0
IZMIR,2003,27
KAHRAMANMARAS,2003,1
KARABUK,2003,0
KARAMAN,2003,0
KARS,2003,0
KASTAMONU,2003,0
KAYSERI,2003,0
KILIS,2003,0
KIRIKKALE,2003,0
KIRKLARELI,2003,0
KIRSEHIR,2003,0
KOCAELI,2003,0
KONYA,2003,0
KUTAHYA,2003,0
MALATYA,2003,2
MANISA,2003,7
MARDIN,2003,0
MERSIN,2003,0
MUGLA,2003,10
MUS,2003,0
NEVSEHIR,2003,0
NIGDE,2003,0
ORDU,2003,0
OSMANIYE,2003,1
RIZE,2003,0
SAKARYA,2003,3
SAMSUN,2003,0
SANLIURFA,2003,0
SIIRT,2003,0
SINOP,2003,0
SIRNAK,2003,1
SIVAS,2003,0
TEKIRDAG,2003,0
TOKAT,2003,0
TRABZON,2003,0
TUNCELI,2003,1
USAK,2003,1
VAN,2003,2
YALOVA,2003,0
YOZGAT,2003,0
ZONGULDAK,2003,2
ADANA,2004,6
ADIYAMAN,2004,3
AFYONKARAHISAR,2004,17
AGRI,2004,3
AKSARAY,2004,0
AMASYA,2004,2
ANKARA,2004,20
ANTALYA,2004,7
ARDAHAN,2004,0
ARTVIN,2004,0
AYDIN,2004,11
BALIKESIR,2004,17
BARTIN,2004,0
BATMAN,2004,0
BAYBURT,2004,0
BILECIK,2004,0
BINGOL,2004,11
BITLIS,2004,0
BOLU,2004,3
BURDUR,2004,3
BURSA,2004,10
CANAKKALE,2004,6
CANKIRI,2004,9
CORUM,2004,12
DENIZLI,2004,22
DIYARBAKIR,2004,1
DUZCE,2004,2
EDIRNE,2004,2
ELAZIG,2004,17
ERZINCAN,2004,9
ERZURUM,2004,17
ESKISEHIR,2004,3
GAZIANTEP,2004,0
GIRESUN,2004,1
GUMUSHANE,2004,2
HAKKARI,2004,1
HATAY,2004,0
IGDIR,2004,4
ISPARTA,2004,4
ISTANBUL,2004,14
IZMIR,2004,12
KAHRAMANMARAS,2004,6
KARABUK,2004,1
KARAMAN,2004,0
KARS,2004,0
KASTAMONU,2004,0
KAYSERI,2004,4
KILIS,2004,0
